Crime,Transit,Shopping,Health,Entertainment,Community,Diversity,Schools,Employment
3.5,13.4,53.5,28.2,15.5,14.1,62,60.6,96.5
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
33.8,50.7,27.5,10.6,38.7,39.4,24.6,57.7,63.4
31.7,18.3,71.8,62,62,54.9,34.5,76.8,88
60.6,43,29.6,42.3,24.6,34.5,73.2,59.2,51.4
33.8,50.7,27.5,10.6,38.7,39.4,24.6,57.7,63.4
3.5,13.4,53.5,28.2,15.5,14.1,62,60.6,96.5
1.4,3.5,22.5,17.6,35.9,2.1,61.3,23.2,64.8
33.8,50.7,27.5,10.6,38.7,39.4,24.6,57.7,63.4
48.6,59.2,43,86.6,43.7,83.1,35.9,98.6,90.1
6.3,90.1,90.1,45.8,41.5,53.5,69,83.1,93
31.7,18.3,71.8,62,62,54.9,34.5,76.8,88
60.6,43,29.6,42.3,24.6,34.5,73.2,59.2,51.4
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
4.9,89.4,98.6,26.1,88,73.9,21.8,19,89.4
18.3,29.6,59.9,14.8,78.9,23.9,32.4,93.7,52.8
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
45.1,21.1,30,3.5,33.8,21.1,70.4,70.4,26.8
18.3,29.6,59.9,14.8,78.9,23.9,32.4,93.7,52.8
20.4,51.4,60.6,50,30.3,50.7,21.1,44.4,97.2
31.7,18.3,71.8,62,62,54.9,34.5,76.8,88
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
0.7,45.1,79.6,21.1,73.2,98.6,76.8,51.4,98.6
21.8,46.5,73.9,2.8,20.4,45.8,90.8,46.5,7
